listing_id,avg_sentiment
40625,0.48280544877052306
51287,0.5988336622714996
109679,0.4973151832818985
114505,0.4367490649223328
169672,0.9031262934207916
169752,0.5711184740066528
171835,0.8307757377624512
172530,0.9180517226457596
173375,0.5932646036148072
197787,0.9247371852397919
197796,-0.9932695031166077
197809,0.49017392098903656
197831,0.9576386213302612
197842,-0.8636718591054281
197852,0.9997055530548096
197857,0.5044660717248917
197859,0.8743385672569275
197865,-0.9223938584327698
197870,0.496242493391037
203691,0.8022023379802704
203707,0.15988866686820985
210780,0.18077680170536042
216214,0.35082663893699645
229535,0.5362873345613479
234613,-0.17228824496269227
235805,0.6403623044490814
242287,0.2455911308526993
244032,0.7350411057472229
244521,0.5843594491481781
247290,0.07675229907035827
247879,0.7908042788505554
251790,0.5812889277935028
252052,0.6384878367185592
263788,0.567766797542572
264707,-0.18588151931762695
265300,0.8827164262533188
271754,0.7183594018220901
271872,0.9879966080188751
272589,0.5690075233578682
291635,0.6378795117139816
293667,0.5923510730266571
298176,0.08822582960128784
300702,0.5844598352909088
302499,0.40781577229499816
305788,0.7381199270486831
305796,0.6468042463064194
311836,0.5888328969478607
327876,0.5252082169055938
358058,0.6478184163570404
358337,0.63444504737854
375192,0.6101358592510223
392603,0.25504096746444704
392756,0.45591110587120054
392757,0.809564882516861
392905,0.625959861278534
393961,0.7769503623247147
404083,0.5916072219610214
404657,0.6877516150474549
422021,0.600150215625763
422063,0.23857933282852173
429729,0.15306436121463776
429820,-0.013093957304954528
432365,0.9127730816602707
435239,0.44762528538703916
435240,0.43789017796516416
455314,0.584663450717926
461361,0.39496521949768065
468889,0.5492916762828827
481895,0.9695392310619354
482052,0.0237482488155365
488723,0.995057862997055
532596,0.9918625295162201
536895,0.5952873349189758
543409,0.879200491309166
560952,0.5897210896015167
569990,0.33491994937260944
569995,0.9555207192897797
569997,0.9943462014198303
573333,0.9969613313674927
576960,0.2860092133283615
600477,0.7883502244949341
610592,0.41648409366607664
615011,0.9926101207733155
627455,0.9387861967086792
638309,-0.16628630161285402
669898,0.5733386397361755
690832,0.7376614570617676
701962,0.3520253628492355
708972,0.5783601462841034
751185,0.5986579358577728
758811,0.43806369602680206
763157,0.7422513127326965
779815,0.9962689816951752
799342,0.8781311541795731
813826,0.5174549094268254
833475,0.939285159111023
835397,0.5214453011751174
835545,0.5883269727230072
846009,0.40894131660461425
846107,0.602020263671875
849480,0.39767775535583494
855282,0.5963096857070923
879228,0.39793254137039186
892831,0.7489362716674804
900074,0.7024768888950348
